City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
331,Kavaratti,IN,82.4,scattered clouds,10.57,72.64,Hotels in Lakshadweep Islands
333,Ballina,AU,93.2,clear sky,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
336,Christchurch,NZ,71.6,few clouds,-43.53,172.63,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
341,Elat,IL,69.8,clear sky,29.56,34.95,Club Hotel Eilat
342,Chilakalurupet,IN,79.88,clear sky,16.08,80.17,Budha Beach Resort Chirala
343,Makakilo City,US,82.4,few clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
344,Meulaboh,ID,80.56,overcast clouds,4.14,96.13,Kost Pria
345,Mananjary,MG,71.82,overcast clouds,-21.22,48.33,Vahiny Lodge
348,Marsa Matruh,EG,66.2,scattered clouds,31.35,27.25,Beau Site
350,San Patricio,US,75.99,scattered clouds,28.02,-97.52,"Motel 6 Sinton, TX"
351,Suicheng,CN,66.63,clear sky,33.9,117.93,Junyue Hotel
352,Touros,BR,77.0,scattered clouds,-5.2,-35.46,INN NEW HORIZON
358,Nara,JP,66.2,few clouds,34.69,135.8,Guesthouse Nara Komachi
359,Viru,PE,65.93,broken clouds,-8.42,-78.75,AYAR PORTENTOS DE MONTAÑA
361,Xiaolan,CN,81.0,overcast clouds,22.67,113.23,Crowne Plaza Zhongshan
362,Sibut,CF,70.03,broken clouds,5.72,19.07,
363,Sri Aman,MY,82.4,scattered clouds,1.24,111.46,Seri Simanggang Hotel
364,Shingu,JP,68.0,few clouds,33.73,135.98,Shingu UI Hotel
370,Abu Dhabi,AE,77.0,clear sky,24.47,54.37,Beach Rotana
372,Camacha,PT,69.8,scattered clouds,33.08,-16.33,Hotel Porto Santo & Spa
374,Sao Joao Da Barra,BR,72.73,light rain,-21.64,-41.05,Pousada Porto De Canoas
375,Dingle,PH,86.29,light rain,11.0,122.67,SEGAYA PROPERTY
376,Fruitville,US,75.0,clear sky,27.33,-82.46,Homewood Suites by Hilton Sarasota
377,Avarua,CK,77.0,scattered clouds,-21.21,-159.78,Paradise Inn
379,Banda Aceh,ID,83.17,broken clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
381,Escobal,PA,79.0,clear sky,9.15,-79.96,Iglesia Vino Nuevo
384,Ahipara,NZ,66.29,clear sky,-35.17,173.17,Ahipara Holiday Park
385,Saint-Pierre,RE,78.8,overcast clouds,-21.34,55.48,Lindsey Hôtel
387,Bria,CF,66.25,few clouds,6.54,21.99,
