City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
322,Sterling,US,39.01,-77.43,63.0,63,90,16.11,overcast clouds
323,Buraydah,SA,26.33,43.98,78.8,44,40,6.93,scattered clouds
324,Santa Teresa,VE,10.23,-66.66,89.6,70,40,5.82,scattered clouds
325,Tasiilaq,GL,65.61,-37.64,21.67,93,100,10.13,overcast clouds
326,Fairbanks,US,64.84,-147.72,6.8,77,90,3.36,light snow
327,Keflavik,IS,64.0,-22.56,37.4,74,0,6.93,clear sky
328,Inirida,CO,3.87,-67.92,88.07,70,76,2.73,moderate rain
329,Birao,CF,10.28,22.79,77.2,23,33,4.88,scattered clouds
330,La Palma,US,33.85,-118.05,75.0,37,1,3.69,clear sky
331,Port Said,EG,31.26,32.28,68.0,60,40,17.22,scattered clouds
332,Kamina,CD,-8.74,24.99,67.59,94,87,3.85,overcast clouds
333,Tatvan,TR,38.51,42.28,39.79,70,90,3.47,overcast clouds
334,Kozhva,RU,65.11,57.05,16.92,96,100,7.47,overcast clouds
335,Kawalu,ID,-7.38,108.21,73.87,91,94,0.74,overcast clouds
336,Koslan,RU,63.46,48.9,31.33,99,100,4.85,overcast clouds
337,Chinsali,ZM,-10.54,32.08,66.25,91,86,6.24,moderate rain
338,Kerema,PG,-7.96,145.78,77.95,88,91,2.55,overcast clouds
339,Hamilton,US,39.18,-84.53,55.99,50,40,31.09,scattered clouds
340,Kununurra,AU,-15.77,128.73,78.8,74,88,1.95,overcast clouds
341,Zaysan,KZ,47.47,84.87,30.94,87,54,8.08,broken clouds
342,Asuncion,PY,-25.3,-57.64,75.2,83,75,3.36,broken clouds
343,Kenai,US,60.55,-151.26,10.4,85,1,3.36,clear sky
344,Itarema,BR,-2.92,-39.92,87.1,57,31,20.13,scattered clouds
345,Marathon,US,44.9,-89.77,33.8,86,90,29.97,overcast clouds
346,Hvide Sande,DK,56.0,8.13,57.0,80,98,8.01,moderate rain
347,Pitimbu,BR,-7.47,-34.81,87.8,58,40,12.75,scattered clouds
348,Washougal,US,45.58,-122.35,54.0,87,90,6.93,overcast clouds
349,Esso,RU,55.93,158.7,12.63,87,81,4.0,broken clouds
350,Magadan,RU,59.57,150.8,9.73,92,100,7.81,overcast clouds
351,Omsukchan,RU,62.53,155.8,-7.28,87,100,4.32,light snow
352,Baringo,KE,0.47,35.97,76.06,51,100,2.44,overcast clouds
353,Heishan,CN,41.69,122.11,39.34,69,4,10.8,clear sky
354,Souillac,MU,-20.52,57.52,73.4,64,75,10.29,broken clouds
355,Zhongxing,CN,33.7,118.68,54.63,91,0,6.67,clear sky
356,Dakar,SN,14.69,-17.44,87.8,48,0,9.17,clear sky
357,Shatrovo,RU,56.52,64.63,6.55,94,38,7.61,scattered clouds
358,Cordoba,AR,-31.41,-64.18,82.99,38,20,4.7,few clouds
359,San Jose,US,37.34,-121.89,57.99,71,20,3.51,few clouds
360,Plavsk,RU,53.71,37.29,31.59,96,100,8.97,overcast clouds
361,Cristalina,BR,-16.77,-47.61,77.79,62,95,3.89,overcast clouds
362,Puerto Quijarro,BO,-17.78,-57.77,101.75,29,81,6.42,broken clouds
